imdb_id,score,explanation,name
tt32843349,3,There are two or more women in this movie and they talk to each other about something other than a man,Sorry Baby
tt36639986,3,There are two or more women in this movie and they talk to each other about something other than a man,Soy Frankelda
tt32550101,3,There are two or more women in this movie and they talk to each other about something other than a man,Straw
tt5950044,2,"There are two or more women in this movie, but they only talk to each other about a man",Superman
tt37521114,3,There are two or more women in this movie and they talk to each other about something other than a man,Takeout
tt38367304,3,There are two or more women in this movie and they talk to each other about something other than a man,Taylor Swift | The Official Release Party of a Showgirl
tt20969586,3,There are two or more women in this movie and they talk to each other about something other than a man,Thunderbolts*
tt12001534,3,There are two or more women in this movie and they talk to each other about something other than a man,The Thursday Murder Club
tt27983993,3,There are two or more women in this movie and they talk to each other about something other than a man,To Kill A Wolf
tt31184028,3,There are two or more women in this movie and they talk to each other about something other than a man,Together
tt21045208,3,There are two or more women in this movie and they talk to each other about something other than a man,Tow
tt29768334,1,"There are two or more women in this movie, but they don't talk to each other",Train Dreams
tt6604188,2,"There are two or more women in this movie, but they only talk to each other about a man",Tron: Ares
tt14364480,3,There are two or more women in this movie and they talk to each other about something other than a man,Wake Up Dead Man
tt26581740,2,"There are two or more women in this movie, but they only talk to each other about a man",Weapons
tt32214413,3,There are two or more women in this movie and they talk to each other about something other than a man,The Wedding Banquet
tt19847976,3,There are two or more women in this movie and they talk to each other about something other than a man,Wicked: For Good
tt14893438,3,There are two or more women in this movie and they talk to each other about something other than a man,Wish You Were Here
tt4216984,2,"There are two or more women in this movie, but they only talk to each other about a man",Wolf Man
tt7130300,3,There are two or more women in this movie and they talk to each other about something other than a man,The Woman in Cabin 10
tt31241595,1,"There are two or more women in this movie, but they don't talk to each other",Zombies 4: Dawn of the Vampires
tt26443597,3,There are two or more women in this movie and they talk to each other about something other than a man,Zootopia 2
tt11563598,1,"There are two or more women in this movie, but they don't talk to each other",A Complete Unknown
tt21097228,0,Fewer than two women in this movie,A Different Man
tt21337754,3,There are two or more women in this movie and they talk to each other about something other than a man,A Little Family Drama
tt13433802,1,"There are two or more women in this movie, but they don't talk to each other",A Quiet Place: Day One
tt21823606,2,"There are two or more women in this movie, but they only talk to each other about a man",A Real pain
tt27489557,3,There are two or more women in this movie and they talk to each other about something other than a man,Abigail
tt18412256,3,There are two or more women in this movie and they talk to each other about something other than a man,Alien: Romulus
tt30852384,2,"There are two or more women in this movie, but they only talk to each other about a man",All of you
tt32086077,3,There are two or more women in this movie and they talk to each other about something other than a man,All We Imagine as Light
tt11225626,3,There are two or more women in this movie and they talk to each other about something other than a man,Am I OK?
tt28607951,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Anora
tt8368368,1,"There are two or more women in this movie, but they don't talk to each other",The Apprentice
tt15009428,3,There are two or more women in this movie and they talk to each other about something other than a man,Argylle
tt22173666,1,"There are two or more women in this movie, but they don't talk to each other",Azrael
tt21276958,3,There are two or more women in this movie and they talk to each other about something other than a man,Babes
tt30057084,3,There are two or more women in this movie and they talk to each other about something other than a man,Babygirl
tt4919268,3,There are two or more women in this movie and they talk to each other about something other than a man,Bad Boy: Ride Or Die
tt27490099,2,"There are two or more women in this movie, but they only talk to each other about a man",Beating Hearth
tt15314262,3,There are two or more women in this movie and they talk to each other about something other than a man,The Beekeeper
tt2049403,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Beetlejuice Beetlejuice
tt21454134,1,"There are two or more women in this movie, but they don't talk to each other",The Bikeriders
tt14858658,3,There are two or more women in this movie and they talk to each other about something other than a man,Blink Twice
tt26237514,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious",Bonhoeffer: Pastor. Spy. Assassin.
tt8999762,2,"There are two or more women in this movie, but they only talk to each other about a man",The Brutalist
tt14351082,1,"There are two or more women in this movie, but they don't talk to each other",Cabrini
tt21382296,3,There are two or more women in this movie and they talk to each other about something other than a man,Carry-On
tt16426418,2,"There are two or more women in this movie, but they only talk to each other about a man",Challengers
tt17279496,3,There are two or more women in this movie and they talk to each other about something other than a man,Civil War
tt20215234,0,Fewer than two women in this movie,Conclave
tt13452446,3,There are two or more women in this movie and they talk to each other about something other than a man,Damsel
tt33343397,3,There are two or more women in this movie and they talk to each other about something other than a man,Dan Da Dan: First Encounter
